"Designator","Footprint","Quantity","Value","LCSC Part #"

"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C3, C4, C5, C6, C7, C8, C9",805,27,"0.1uF","C138340"


"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED3, LED4, LED5, LED6, LED7, LED8, LED9","LED_WS2812_2020",26,"WS2812_2020","C965555"
"R1",805,1,"470Ohm","C204522"
"R2",805,1,"150kOhm","C114558"


"U1","SOT-23-5",1,"SN74LV1T34DBV","C100024"